,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
0,0,2015,1,1,no_error,"74
",74,,"
def get_floor(instructions):
    floor = 0
    for instruction in instructions:
        if instruction == '(':
            floor += 1
        elif instruction == ')':
            floor -= 1
    return floor

with open('input.txt', 'r') as f:
    instructions = f.read()

print(get_floor(instructions))
",0.0
1,1,2015,1,2,no_error,"1795
",1795,,"
def get_basement_position(instructions):
    floor = 0
    for i, instruction in enumerate(instructions, start=1):
        if instruction == '(':
            floor += 1
        elif instruction == ')':
            floor -= 1
        if floor == -1:
            return i

with open('input.txt', 'r') as f:
    instructions = f.read()

print(get_basement_position(instructions))
",0.0
4,4,2015,2,1,no_error,"1586300
",1586300,,"
with open('input.txt') as f:
    total = 0
    for line in f:
        l, w, h = map(int, line.split('x'))
        total += 2*l*w + 2*w*h + 2*h*l + min(l*w, w*h, h*l)
    print(total)
",0.0
5,5,2015,2,2,no_error,"3737498
",3737498,,"
with open('input.txt') as f:
    total = 0
    for line in f:
        l, w, h = map(int, line.split('x'))
        total += 2*min(l+w, w+h, h+l) + l*w*h
    print(total)
",0.0
8,8,2015,3,1,no_error,"2565
",2565,,"
with open('input.txt') as f:
    directions = f.read().strip()

houses = set()
x, y = 0, 0
for direction in directions:
    if direction == '^':
        y += 1
    elif direction == 'v':
        y -= 1
    elif direction == '>':
        x += 1
    elif direction == '<':
        x -= 1
    houses.add((x, y))

print(len(houses))
",0.0
9,9,2015,3,2,wrong_output,"2783
",2639,,"
with open('input.txt') as f:
    directions = f.read().strip()

houses = set()
x, y = 0, 0
for i, direction in enumerate(directions):
    if i % 2 == 0:
        if direction == '^':
            y += 1
        elif direction == 'v':
            y -= 1
        elif direction == '>':
            x += 1
        elif direction == '<':
            x -= 1
        houses.add((x, y))
    else:
        if direction == '^':
            y -= 1
        elif direction == 'v':
            y += 1
        elif direction == '>':
            x -= 1
        elif direction == '<':
            x += 1
        houses.add((x, y))

print(len(houses))
",2.0
10,10,2015,4,1,no_error,"117946
",117946,,"
import hashlib

def md5(s):
    return hashlib.md5(s.encode('utf-8')).hexdigest()

def mine(key):
    i = 0
    while True:
        h = md5(key + str(i))
        if h.startswith('00000'):
            return i
        i += 1

if __name__ == '__main__':
    with open('input.txt') as f:
        key = f.read().strip()
    print(mine(key))
",0.0
11,11,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib

def md5(s):
    return hashlib.md5(s.encode('utf-8')).hexdigest()

def mine(key):
    i = 0
    while True:
        h = md5(key + str(i))
        if h.startswith('000000'):
            return i
        i += 1

if __name__ == '__main__':
    with open('input.txt') as f:
        key = f.read().strip()
    print(mine(key))
",0.0
14,14,2015,5,1,no_error,"236
",236,,"
vowels = 'aeiou'
bad_strings = ['ab', 'cd', 'pq', 'xy']

def is_nice(string):
    if sum(1 for char in string if char in vowels) < 3:
        return False
    if not any(char * 2 in string for char in string):
        return False
    if any(bad_string in string for bad_string in bad_strings):
        return False
    return True

with open('input.txt') as f:
    nice_strings = [line for line in f if is_nice(line)]

print(len(nice_strings))
",0.0
15,15,2015,5,2,wrong_output,"144
",51,,"
def is_nice(string):
    for i in range(len(string) - 3):
        if string[i] == string[i + 2] and string[i:i + 2] in string[i + 2:]:
            return True
        if string[i] == string[i + 1] and string[i] in string[i + 2:]:
            return True
    return False

with open('input.txt') as f:
    nice_strings = [line for line in f if is_nice(line)]

print(len(nice_strings))
",2.0
