,id,status,output,expected_output,error,code,difficulty
0,1,wrong_output,,233168,,"
def sum_multiples_3_or_5(n):
  """"""
  Returns the sum of all multiples of 3 or 5 below n.

  Args:
    n: The upper bound (exclusive).

  Returns:
    The sum of all multiples of 3 or 5 below n.
  """"""

  sum = 0
  for i in range(1, n):
    if i % 3 == 0 or i % 5 == 0:
      sum += i

  return sum
",5
1,2,wrong_output,,4613732,,"
def sum_even_fibonacci_terms(n):
  """"""
  Returns the sum of the even-valued terms in the Fibonacci sequence
  whose values do not exceed n.
  """"""

  # Initialize the Fibonacci sequence.
  a, b = 0, 1

  # Keep track of the sum of the even-valued terms.
  sum = 0

  # Iterate over the Fibonacci sequence until the next term exceeds n.
  while a < n:
    # If the current term is even, add it to the sum.
    if a % 2 == 0:
      sum += a

    # Calculate the next term in the Fibonacci sequence.
    a, b = b, a + b

  # Return the sum of the even-valued terms.
  return sum
",5
2,3,wrong_output,,6857,,"
def max_Prime_Factors (n): 
    maxPrime = -1
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1
    for i in range(3,int(n ** 0.5)+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n 
    return int(maxPrime) 
",5
3,4,wrong_output,"(913, 993)
",906609,,"
def largest_palindrome_product(n):
    """"""Finds the largest palindrome made from the product of two n-digit numbers.""""""

    # Generate all n-digit numbers.
    numbers = [i for i in range(10**n)]

    # Find all pairs of n-digit numbers that multiply to a palindrome.
    pairs = [(i, j) for i in numbers for j in numbers if str(i * j) == str(i * j)[::-1]]

    # Return the pair with the largest product.
    return max(pairs, key=lambda pair: pair[0] * pair[1])


# Find the largest palindrome made from the product of two 3-digit numbers.
largest_palindrome = largest_palindrome_product(3)

# Print the largest palindrome.
print(largest_palindrome)
",5
4,5,wrong_output,,232792560,,"
def smallest_multiple(n): 
    i = 2
    while True: 
        if all(i % j == 0 for j in range(1, n+1)): 
            return i 
        i += 1
",5
5,6,wrong_output,,25164150,,"
def sum_square_difference(n):
  """"""Returns the difference between the sum of the squares of the first n natural numbers and the square of the sum.""""""

  sum_of_squares = sum(i**2 for i in range(1, n + 1))
  square_of_sum = (sum(range(1, n + 1)))**2

  return square_of_sum - sum_of_squares
",5
6,7,wrong_output,"The 10001st prime number is 104729
",104743,,"
def is_prime(n): 
    if (n <= 1): 
        return False
    for i in range(2, n): 
        if (n % i == 0): 
            return False
    return True
count = 1
num = 2
while count < 10001: 
    if is_prime(num): 
        count += 1    
    num += 1
print(""The 10001st prime number is"", num-1)
",5
7,8,wrong_output,"568995840
",23514624000,,"
def max_product(n):
    # Convert n to a string
    n = str(n)

    # Initialize the maximum product to 1
    max_product = 1

    # Iterate over all the possible starting positions of the 13-digit sequence
    for i in range(len(n) - 12):

        # Calculate the product of the 13-digit sequence starting at position i
        product = 1
        for j in range(i, i + 13):
            product *= int(n[j])

        # Update the maximum product if necessary
        max_product = max(max_product, product)

    return max_product

if __name__ == ""__main__"":
    n = 73167176531330624919225119674426574742355349194934
    print(max_product(n))
",5
8,9,wrong_output,,31875000,,"
def special_pythagorean_triplet():
    for a in range(1, 1000):
        for b in range(a + 1, 1000):
            c = 1000 - a - b
            if a**2 + b**2 == c**2:
                return a, b, c
",5
9,10,wrong_output,,142913828922,,"
def sum_of_primes(n):
    """"""
    Returns the sum of all prime numbers below n.

    Args:
        n (int): The upper bound (exclusive).

    Returns:
        int: The sum of all prime numbers below n.
    """"""

    primes = [2]
    for i in range(3, n):
        is_prime = True
        for prime in primes:
            if i % prime == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(i)

    return sum(primes)
",5
10,11,wrong_output,,70600674,,"
def max_product_in_grid(grid):
    max_product = 0
    for i in range(len(grid) - 3):
        for j in range(len(grid[0]) - 3):
            product = grid[i][j] * grid[i + 1][j] * grid[i + 2][j] * grid[i + 3][j]
            if product > max_product:
                max_product = product
    return max_product
",5
