,id,status,output,expected_output,error,code,difficulty
0,78,runtime_error,,55374,"Traceback (most recent call last):
  File ""/tmp/tmpabgq095c/tmp.py"", line 3, in <module>
    import sympy
ModuleNotFoundError: No module named 'sympy'
","
import math
import sympy

def partitions(n):
    p = [1] * (n + 1)
    for i in range(1, n + 1):
        for j in range(i, n + 1):
            p[i] += p[i - j] * p[j]
        p[i] = int(p[i])
    return p

def find_least_value_n(divisible_by=10000000):
    n = 1
    while True:
        p = partitions(n)
        if p[n] % divisible_by == 0:
            return n
        n += 1

least_value_n = find_least_value_n()
print(f""The least value of n for which p(n) is divisible by one million is: {least_value_n}"")
",30
1,95,syntax_error,,14316,"  File ""/tmp/tmpagkcdfgq/tmp.py"", line 7
    for i in range(2, int(sqrt(n)):
                                  ^
SyntaxError: invalid syntax
","
from itertools import chain
from math import sqrt

def is_perfect(n):
    sum_divisors = 1
    for i in range(2, int(sqrt(n)):
        if n % i == 0:
            sum_divisors += i + n//i
    return sum_divisors * 2 == n

def get_perfect_numbers():
    return (i for i in chain.from_iterable(((i, n//i) for i in range(2, 100000001) if n*i <= 100000000) if is_perfect(i)) if i == n//i)

def get_amicable_chain(n):
    chain_length = 1
    while n != 1:
        n = sum(divisors(n))
        chain_length += 1
    return chain_length

def divisors(n):
    return (i for i in range(2, int(sqrt(n)) if n % i == 0) if n % i == 0)

def get_longest_amicable_chain(limit):
    max_length = 0
    max_n = 0
    for n in get_perfect_numbers():
        chain = get_amicable_chain(n)
        if chain > max_length:
            max_length = chain
            max_n = n
    return max_n

longest_chain_member = get_longest_amicable_chain(100000000)
print(longest_chain_member)
",30
2,100,timeout_error,,756872327473,TIMEOUT,"
from math import factorial

def count_combinations(n, r):
    return factorial(n) // (factorial(r) * factorial(n - r))

def solve_for_blue_discs(total_discs):
    for i in range(1, total_discs):
        if abs(count_combinations(total_discs, i)/(2*count_combinations(total_discs-i, i)) - 1/2) < 1e-6:
            return i

# The total number of discs in the box
total_discs = 10**12

# The number of blue discs in the box that will give 50% chance of choosing two blue discs at random
blue_discs = solve_for_blue_discs(total_discs)

print(f""A box containing {total_discs} discs with {blue_discs} blue discs and {total_discs - blue_discs} red discs would give a 50% chance of choosing two blue discs at random."")
",30
3,108,runtime_error,,180180,"Traceback (most recent call last):
  File ""/tmp/tmp_6nxvgp4/tmp.py"", line 2, in <module>
    from sympy import totient
ModuleNotFoundError: No module named 'sympy'
","
from sympy import totient
from sympy.ntheory import primefactors

def diophantine_reciprocals(n):
    count = 0
    for x in range(1, n):
        for y in range(1, n):
            if (1*x + 1*y) == n:
                count += 1
    return count

def find_min_n(threshold):
    n = 2
    while True:
        if diophantine_reciprocals(n) > threshold:
            return n
        n += 1

n_threshold = 10000
min_n = find_min_n(n_threshold)
print(min_n)


import math

def diophantine_reciprocals_prime(n):
    phi = totient(n)
    return phi

def find_min_n_prime(threshold):
    n = 2
    while True:
        phi = diophantine_reciprocals_prime(n)
        if phi > threshold:
            return n
        n += 1

n_threshold = 10000
min_n = find_min_n_prime(n_threshold)
print(min_n)
",30
4,113,timeout_error,,51161058134250,TIMEOUT,"
def is_bouncy(n):
    n_str = str(n)
    increasing = decreasing = True
    for i in range(len(n_str) - 1):
        if n_str[i] > n_str[i + 1]:
            increasing = False
        if n_str[i] < n_str[i + 1]:
            decreasing = False
        if not increasing and not decreasing:
            return True
    return False

def count_non_bouncy_numbers(n):
    non_bouncy_count = 0
    for i in range(1, n + 1):
        if not is_bouncy(i):
            non_bouncy_count += 1
    return non_bouncy_count

count_non_bouncy_numbers(10**100)
",30
5,116,wrong_output,"73
",20492570929,,"
def count_ways(n, colored_tiles=[1, 3, 7]):
    """"""
    Returns the number of ways to replace grey tiles in a row of length n with red, green or blue tiles,
    without mixing the colors and at least one colored tile must be used.
    
    Args:
        n: int, the length of the row
        colored_tiles: list, the number of ways to replace grey tiles for each color
    Returns:
        int, the total number of ways to replace grey tiles with colored tiles
    """"""
    if n < 1:
        return 0
    ways = [1] + [0] * n
    for ct in colored_tiles:
        for i in range(ct, n + 1):
            ways[i] += ways[i - ct]
    return ways[-1]

print(count_ways(50))
",30
6,119,timeout_error,,248155780267521,TIMEOUT,"
import math

def digit_power_sum(n):
    digits = [int(d) for d in str(n)]
    power = len(digits)
    result = sum(math.pow(digit, power) for digit in digits)
    return result

def powers_of_digits(n):
    sequence = []
    i = 1
    while True:
        if digit_power_sum(i) == i:
            sequence.append(i)
            if len(sequence) == n:
                return sequence
        i += 1

print(powers_of_digits(30)[-1])
",30
7,123,wrong_output,,21035,,"
import math

def prime_square_remainders(n):
    def is_prime(num):
        if num < 2:
            return False
        for i in range(2, int(math.sqrt(num)) + 1):
            if num % i == 0:
                return False
        return True

    def find_n(n):
        for i in range(2, n + 1):
            if is_prime(i):
                remainder = (i - 1)**n + (i + 1)**n % (i**2)
                if remainder > 10**10:
                    return i
        return None

    n = 0
    result = find_n(n)
    while result is None:
        n += 1
        result = find_n(n)

    return result
",30
8,173,timeout_error,,1572729,TIMEOUT,"
from itertools import product

def square_laminae(n):
    # Initialize an empty list to store the laminae
    laminae = []

    # Iterate over all possible lengths of the side of the square
    for length in range(1, n + 1):
        # Iterate over all possible positions of the hole
        for i, j in product(range(1, length), range(1, length)):
            # Check if the hole can be placed at the current position
            if length - i > 1 and length - j > 1:
                # Add the laminae to the list
                laminae.append((length, i, j))

    return laminae

def count_unique_laminae(laminae):
    # Initialize a set to store unique laminae
    unique_laminae = set()

    # Iterate over all the laminae
    for l in laminae:
        # For each laminae, calculate the area and add it to the set
        area = l[0] * l[0] - (l[1] - 1) * (l[1] - 1)
        unique_laminae.add(area)

    return len(unique_laminae)

# Test the function with n = 10000
laminae_list = square_laminae(10000)
unique_laminae = count_unique_laminae(laminae_list)
print(unique_laminae)
",30
9,204,wrong_output,"20
",2944730,,"
import math
def is_prime(n):
    if n <= 1:
        return False
    if n <= 3:
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True

def count_hamming_numbers(n, limit):
    hamming_numbers = []
    hamming_count = 0
    for i in range(1, limit + 1):
        if all(is_prime(int(d)) or int(d) == 2 or int(d) == 5 for d in str(i)):
            hamming_numbers.append(i)
    return hamming_numbers

def hamming_numbers(n, limit):
    return len(count_hamming_numbers(n, limit))

print(hamming_numbers(100, 109))
",30
10,293,runtime_error,,2209,"Traceback (most recent call last):
  File ""/tmp/tmpzuwa7qx0/tmp.py"", line 3, in <module>
    import sympy
ModuleNotFoundError: No module named 'sympy'
","
import math
import sympy
def is_prime(num):
    if num == 1:
        return False
    if num == 2:
        return True
    for i in range(2, int(math.sqrt(num))+1):
        if num % i == 0:
            return False
    return True

def is_consecutive_prime(num):
    num_str = str(num)
    if len(set(num_str) - {'0', '1'}) == len(num_str) - 1:
        for i in range(len(num_str)-1):
            if not is_prime(int(num_str[i:])) or not is_prime(int(num_str[:i+1])):
                return False
        return True
    return False

def next_prime(num):
    while True:
        num += 1
        if is_prime(num):
            return num

def pseudo_fortunate_number(num):
    if num == 2:
        return 3
    if is_power_of_two(num):
        return num*2
    if is_consecutive_prime(num):
        for i in range(2, int(math.sqrt(num))+1):
            if num % i == 0 and is_prime(num//i) and is_prime(i):
                return num//i + next_prime(num//i)

def is_power_of_two(num):
    return num & (num-1) == 0

def is_admissible(num):
    return num % 2 == 0 and (is_power_of_two(num) or is_consecutive_prime(num))

def sum_of_pseudo_fortunate_numbers():
    admissible_numbers = [num for num in range(2, 10**9) if is_admissible(num)]
    pseudo_fortunate_numbers = [pseudo_fortunate_number(num) for num in admissible_numbers]
    return sum(set(pseudo_fortunate_numbers))

print(sum_of_pseudo_fortunate_numbers())
",30
11,313,wrong_output,,2057774861813004,,"
import math
def count_grids(n):
    count = 0
    for m in range(1, n+1):
        for i in range(1, n+1):
            for j in range(1, n+1):
                if math.sqrt(2*(m+i+j)+1).is_integer() and (m+i+j)+1 <= n*n:
                    count += 1
    return count
",30
12,321,wrong_output,"1540
",2470433131948040,,"
import math

def swap_counters(arr):
    n = len(arr)
    arr = [1] * n
    total_moves = 0
    for i in range(n):
        if arr[i] == 'R':
            total_moves += n - i - 1
            arr[i:] = ['B'] * (n - i)
        else:
            total_moves += i + 1
            arr[:i + 1] = ['R'] * (i + 1)
    return total_moves

def generate_sequence(n):
    seq = [0] * n
    for i in range(1, n + 1):
        arr = ['R'] + ['B'] * (n - 1)
        seq[i - 1] = swap_counters(arr)
        for j in range(i):
            if j % 2 == 0:
                arr[j], arr[i - j - 1] = arr[i - j - 1], arr[j]
            else:
                arr[j], arr[i - j] = arr[i - j], arr[j]
    return seq

def sum_of_triangular_numbers(n):
    seq = generate_sequence(n)
    triangular_numbers = [0] * n
    for i in range(n):
        triangular_numbers[i] = (i + 1) * (i + 2) // 2
    total_sum = sum(triangular_numbers[:40])
    return total_sum

print(sum_of_triangular_numbers(20))
",30
13,340,syntax_error,,291504964,"  File ""/tmp/tmp6ofo185p/tmp.py"", line 11
    def sum_crazy_function(a, b, c):
    ^
SyntaxError: invalid syntax
","
import sys
import math

def crazy_function(a, b, c, n):
    if n > b:
        return n - c
    else:
        return crazy_function(a, b, c, crazy_function(a, b, c, a + crazy_function(a, b, c, a + n))

def sum_crazy_function(a, b, c):
    return sum(crazy_function(a, b, c, i) for i in range(b + 1)) % (10 ** 9)

def last_nine_digits(a, b, c):
    return sum_crazy_function(a, b, c) % (10 ** 9)

print(last_nine_digits(217, 721, 127))
",30
14,371,timeout_error,,40.66368097,TIMEOUT,"
import random
import math
from itertools import combinations

def average_number_plates_for_win():
    # Generate a list of all possible combinations of three letters and three digits
    letter_combinations = list(combinations(['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], 3))
    number_combinations = list(combinations(range(1000), 3))

    # Generate a list of all possible license plates
    plates = []
    for letter_combination in letter_combinations:
        for number_combination in number_combinations:
            plate = ''.join(letter_combination) + '-' + str(sum(number_combination)).zfill(3)
            plates.append(plate)

    # Define a function to check if two license plates have the same three-digit number
    def same_number(plate1, plate2):
        return plate1[3:] == plate2[3:]

    # Define a function to calculate the sum of two license plates
    def plate_sum(plate1, plate2):
        return int(plate1[3:]) + int(plate2[3:])

    wins = 0
    total_plates_seen = 0

    # Loop through all possible pairs of plates
    for plate1, plate2 in combinations(plates, 2):
        # If both plates share the same three-digit number
        if same_number(plate1, plate2):
            # Check if their sum is 1000
            if plate_sum(plate1, plate2) == 1000:
                # Increment the win count
                wins += 1

        # Increment the total plates seen counter
        total_plates_seen += 1

    # Calculate the average number of plates needed for a win
    avg_plates_needed = total_plates_seen / wins

    return avg_plates_needed

print(average_number_plates_for_win())
",30
15,389,wrong_output,"129.75
",2406376.3623,,"
from math import sqrt

def variance(n, s):
    return (n * s ** 2 - n ** 2) / 12

def expected_value(n, s):
    return n * (s + 1) / 2

def calculate_variance(n1, s1, n2, s2, n3, s3):
    t = expected_value(n1, 4)
    c = expected_value(n2, 6) + t
    o = expected_value(n3, 8) + c
    i = expected_value(n3, 12) + o
    return variance(n3, 20) + (n3 * (c - o) ** 2) + (n2 * (o - t) ** 2) + (n1 * (c - t) ** 2)

n1 = 1
s1 = 4
n2 = 1
s2 = 6
n3 = 1
s3 = 8
n4 = 1
s4 = 20

print(round(calculate_variance(n1, s1, n2, s2, n3, s4), 4))
",30
