,id,status,output,expected_output,error,code,difficulty
0,1,no_error,"233168
",233168,,"
def sum_multiples_3_or_5(n):
    sum = 0
    for i in range(1, n):
        if i % 3 == 0 or i % 5 == 0:
            sum += i
    return sum

print(sum_multiples_3_or_5(1000))
",5
1,2,no_error,"4613732
",4613732,,"
def even_fibonacci_sum(limit):
    a, b = 0, 1
    sum = 0
    while a < limit:
        if a % 2 == 0:
            sum += a
        a, b = b, a + b
    return sum

print(even_fibonacci_sum(4000000))
",5
2,3,wrong_output,,6857,,"
def max_Prime_Factors (n): 
    maxPrime = -1
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1
    for i in range(3,int(n ** 0.5)+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n 
    return int(maxPrime) 
",5
3,4,wrong_output,,906609,,"
def largest_palindrome_product(n):
    """"""Finds the largest palindrome made from the product of two n-digit numbers.""""""

    # Generate all n-digit numbers.
    numbers = [i for i in range(10**n)]

    # Find all pairs of n-digit numbers that multiply to a palindrome.
    palindromes = []
    for i in numbers:
        for j in numbers:
            product = i * j
            if str(product) == str(product)[::-1]:
                palindromes.append(product)

    # Return the largest palindrome.
    return max(palindromes)
",5
4,5,wrong_output,"5587021440
",232792560,,"
def smallest_multiple(n):
    """"""Return the smallest positive number that is evenly divisible by all of the numbers from 1 to n.""""""
    # Initialize the smallest multiple to 1.
    smallest_multiple = 1

    # Iterate over the numbers from 2 to n.
    for i in range(2, n + 1):
        # If the smallest multiple is not evenly divisible by the current number,
        # then multiply the smallest multiple by the current number.
        if smallest_multiple % i != 0:
            smallest_multiple *= i

    # Return the smallest multiple.
    return smallest_multiple


# Print the smallest positive number that is evenly divisible by all of the numbers from 1 to 20.
print(smallest_multiple(20))
",5
5,6,wrong_output,,25164150,,"
def sum_square_difference(n):
    sum_of_squares = sum(i**2 for i in range(1, n+1))
    square_of_sum = sum(range(1, n+1))**2
    return square_of_sum - sum_of_squares
",5
6,7,no_error,"104743
",104743,,"
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def nth_prime(n):
    count = 0
    i = 2
    while count < n:
        if is_prime(i):
            count += 1
        i += 1
    return i - 1

print(nth_prime(10001))
",5
7,8,runtime_error,,23514624000,"  File ""/tmp/tmp9yudk1xk/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def largest_product_in_series(series):
    # Convert the series to a list of integers
    series = [int(x) for x in series]

    # Initialize the maximum product to 1
    max_product = 1

    # Iterate over the series, keeping track of the current product
    for i in range(len(series) - 12):
        current_product = 1
        for j in range(i, i + 13):
            current_product *= series[j]
        max_product = max(max_product, current_product)

    return max_product


if __name__ == ""__main__"":
    series = ""73167176531330624919225119674426574742355349194934""
    series += ""96983520312774506326239578318016984801869478",5
8,9,wrong_output,,31875000,,"
def special_pythagorean_triplet():
    for a in range(1, 1000):
        for b in range(a + 1, 1000):
            c = 1000 - a - b
            if a**2 + b**2 == c**2:
                return a, b, c
",5
9,10,wrong_output,,142913828922,,"
def sum_primes(n):
  """"""Returns the sum of all prime numbers below n.""""""
  primes = [2]
  for i in range(3, n):
    is_prime = True
    for prime in primes:
      if i % prime == 0:
        is_prime = False
        break
    if is_prime:
      primes.append(i)
  return sum(primes)
",5
