,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"# Read the input string from file
with open('input.txt', 'r') as f:
    parentheses = f.read().strip()

# Initialize floor variable
floor = 0

# Iterate through each character in the string
for c in parentheses:
    if c == '(':
        floor += 1
    elif c == ')':
        floor -= 1

# Print the final floor
print(floor)",0.0
1,2015,1,2,no_error,"1795
",1795,,"# Read the input string from file
with open('input.txt', 'r') as f:
    parentheses = f.read().strip()

# Initialize variables
floor = 0
position = None

# Iterate through each character in the string
for i, c in enumerate(parentheses):
    if c == '(':
        floor += 1
    elif c == ')':
        floor -= 1

    # Check if floor is -1
    if floor == -1:
        position = i + 1
        break

# Print the position of the first character that causes floor to be -1
print(position)",0.0
2,2015,2,1,no_error,"1586300
",1586300,,"with open('input.txt', 'r') as file:
    dimensions = file.read().splitlines()

total_area = 0

for dimension in dimensions:
    l, w, h = map(int, dimension.split('x'))
    surface_area = 2*l*w + 2*w*h + 2*h*l
    slack = min(l*w, w*h, h*l)
    total_area += surface_area + slack

print(total_area)",0.0
3,2015,2,2,no_error,"3737498
",3737498,,"with open('input.txt', 'r') as file:
    dimensions = file.read().splitlines()

total_ribbon = 0

for dimension in dimensions:
    l, w, h = map(int, dimension.split('x'))
    shortest_distance = 2 * min(l + w, w + h, h + l)
    volume = l * w * h
    total_ribbon += shortest_distance + volume

print(total_ribbon)",0.0
4,2015,3,1,no_error,"2565
",2565,,"
with open('input.txt', 'r') as file:
    input_string = file.read().strip()

visited_houses = set()
current_position = (0, 0)

visited_houses.add(current_position)

for move in input_string:
    if move == '^':
        current_position = (current_position[0], current_position[1] + 1)
    elif move == 'v':
        current_position = (current_position[0], current_position[1] - 1)
    elif move == '>':
        current_position = (current_position[0] + 1, current_position[1])
    elif move == '<':
        current_position = (current_position[0] - 1, current_position[1])
    
    visited_houses.add(current_position)

print(len(visited_houses))
",0.0
5,2015,3,2,no_error,"2639
",2639,,"
with open('input.txt', 'r') as file:
    input_string = file.read().strip()

visited_houses = set()
santa_position = (0, 0)
robo_santa_position = (0, 0)

visited_houses.add(santa_position)

for i, move in enumerate(input_string):
    if i % 2 == 0:
        if move == '^':
            santa_position = (santa_position[0], santa_position[1] + 1)
        elif move == 'v':
            santa_position = (santa_position[0], santa_position[1] - 1)
        elif move == '>':
            santa_position = (santa_position[0] + 1, santa_position[1])
        elif move == '<':
            santa_position = (santa_position[0] - 1, santa_position[1])
        
        visited_houses.add(santa_position)
    else:
        if move == '^':
            robo_santa_position = (robo_santa_position[0], robo_santa_position[1] + 1)
        elif move == 'v':
            robo_santa_position = (robo_santa_position[0], robo_santa_position[1] - 1)
        elif move == '>':
            robo_santa_position = (robo_santa_position[0] + 1, robo_santa_position[1])
        elif move == '<':
            robo_santa_position = (robo_santa_position[0] - 1, robo_santa_position[1])
        
        visited_houses.add(robo_santa_position)

print(len(visited_houses))
",0.0
6,2015,4,1,no_error,"117946
",117946,,"
import hashlib

def find_lowest_number(secret_key):
    number = 0
    
    while True:
        number += 1
        hash_value = hashlib.md5((secret_key + str(number)).encode()).hexdigest()
        
        if hash_value.startswith('00000'):
            return number

# Read input from file
with open('input.txt', 'r') as file:
    secret_key = file.readline().strip()

# Find the lowest number
lowest_number = find_lowest_number(secret_key)

# Print the result
print(lowest_number)
",0.0
7,2015,4,2,no_error,"3938038
",3938038,,"
import hashlib

def find_lowest_number(secret_key):
    number = 0
    
    while True:
        number += 1
        hash_value = hashlib.md5((secret_key + str(number)).encode()).hexdigest()
        
        if hash_value.startswith('000000'):
            return number

# Read input from file
with open('input.txt', 'r') as file:
    secret_key = file.readline().strip()

# Find the lowest number
lowest_number = find_lowest_number(secret_key)

# Print the result
print(lowest_number)
",0.0
8,2015,5,1,no_error,"236
",236,,"# Read the input file
with open('input.txt', 'r') as file:
    strings = file.read().splitlines()

# Function to check if a string is nice
def is_nice(string):
    vowels = ['a', 'e', 'i', 'o', 'u']
    double_letter = False
    vowel_count = 0
    disallowed_substrings = ['ab', 'cd', 'pq', 'xy']
    
    for i in range(len(string)):
        if string[i] in vowels:
            vowel_count += 1
        
        if i > 0 and string[i] == string[i-1]:
            double_letter = True
            
        if i > 0 and string[i-1:i+1] in disallowed_substrings:
            return False
    
    if vowel_count >= 3 and double_letter:
        return True
    else:
        return False

# Count the number of nice strings
nice_count = 0
for string in strings:
    if is_nice(string):
        nice_count += 1

# Print the result
print(nice_count)",0.0
9,2015,5,2,no_error,"51
",51,,"# Read the input file
with open('input.txt', 'r') as file:
    strings = file.read().splitlines()

# Function to check if a string is nice
def is_nice(string):
    pair_twice = False
    repeat_with_one_between = False
    
    for i in range(len(string)-2):
        pair = string[i:i+2]
        if pair in string[i+2:]:
            pair_twice = True
            break
    
    for i in range(len(string)-2):
        if string[i] == string[i+2]:
            repeat_with_one_between = True
            break
    
    if pair_twice and repeat_with_one_between:
        return True
    else:
        return False

# Count the number of nice strings
nice_count = 0
for string in strings:
    if is_nice(string):
        nice_count += 1

# Print the result
print(nice_count)",0.0
