,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
0,0,60,runtime_error,,26033,"Traceback (most recent call last):
  File ""/tmp/tmps607b87g/tmp.py"", line 3, in <module>
    from sympy import isprime
ModuleNotFoundError: No module named 'sympy'
","
from itertools import combinations
from sympy import isprime

def prime_pair_sets(n):
    primes = [p for p in range(2, 10000) if isprime(p)]
    for c in combinations(primes, n):
        if all(isprime(int(str(a) + str(b))) and isprime(int(str(b) + str(a))) for a, b in combinations(c, 2)):
            return sum(c)

print(prime_pair_sets(5))
",20
1,1,61,runtime_error,,28684,"  File ""/tmp/tmp6ykhs7ky/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_cyclic(nums):
    for i in range(len(nums) - 1):
        if nums[i] % 100 != nums[i + 1] // 100:
            return False
    return True

def is_polygonal(n, k):
    if k == 3:
        return n * (n + 1) // 2
    elif k == 4:
        return n ** 2
    elif k == 5:
        return n * (3 * n - 1) // 2
    elif k == 6:
        return n * (2 * n - 1)
    elif k == 7:
        return n * (5 * n - 3) // 2
    elif k == 8:
        return n * (3 * n - 2)

def find_cyclic_set(k):
    nums = []
    for n in range(1, 100):
        num = is_polygonal(n, k)
        if num >= 1000 and num < 1",20
2,2,64,runtime_error,,1322,"  File ""/tmp/tmp04suk958/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def odd_period_square_roots(limit):
    count = 0
    for n in range(2, limit + 1):
        if is_square(n):
            continue
        period = continued_fraction_period(n)
        if period % 2 == 1:
            count += 1
    return count


def is_square(n):
    return int(n ** 0.5) ** 2 == n


def continued_fraction_period(n):
    a0 = int(n ** 0.5)
    a1 = 1
    b1 = n - a0 ** 2
    period = 0
    while True:
        a2 = int((a0 + a1) / b1)
        b2 = n - a2 ** 2 * b1
        if a2 == a1 and b2 == b1:
            break
        a0, a1, b0, b1 = a1, a2, b1, b2
        period += 1
    return period


if __name__ == ""__main__"":
    print(",20
3,3,70,timeout_error,,8319823,TIMEOUT,"
from itertools import permutations

def totient(n):
    result = n
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            while n % i == 0:
                n //= i
            result -= result // i
    if n > 1:
        result -= result // n
    return result

def is_permutation(a, b):
    return sorted(str(a)) == sorted(str(b))

min_ratio = float('inf')
min_n = 0
for n in range(2, 10 ** 7):
    phi = totient(n)
    if is_permutation(n, phi):
        ratio = n / phi
        if ratio < min_ratio:
            min_ratio = ratio
            min_n = n

print(min_n)
",20
4,4,72,wrong_output,,303963552391,,"
def count_fractions(limit):
    count = 0
    for d in range(2, limit + 1):
        for n in range(1, d):
            if gcd(n, d) == 1:
                count += 1
    return count
",20
5,5,80,runtime_error,,40886,"Traceback (most recent call last):
  File ""/tmp/tmp5tku6gqt/tmp.py"", line 15, in <module>
    main()
  File ""/tmp/tmp5tku6gqt/tmp.py"", line 11, in main
    total += digital_sum(math.sqrt(i))
  File ""/tmp/tmp5tku6gqt/tmp.py"", line 5, in digital_sum
    return sum(int(d) for d in str(n))
  File ""/tmp/tmp5tku6gqt/tmp.py"", line 5, in <genexpr>
    return sum(int(d) for d in str(n))
ValueError: invalid literal for int() with base 10: '.'
","
import math

def digital_sum(n):
    return sum(int(d) for d in str(n))

def main():
    total = 0
    for i in range(1, 101):
        if not math.sqrt(i).is_integer():
            total += digital_sum(math.sqrt(i))
    print(total)

if __name__ == ""__main__"":
    main()
",20
6,6,87,timeout_error,,1097343,TIMEOUT,"
from itertools import product
from math import sqrt

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

def main():
    primes = [i for i in range(2, 50000000) if is_prime(i)]
    squares = [i * i for i in primes]
    cubes = [i * i * i for i in primes]
    fourth_powers = [i * i * i * i for i in primes]

    count = 0
    for a, b, c in product(squares, cubes, fourth_powers):
        if a + b + c < 50000000:
            count += 1

    print(count)

if __name__ == ""__main__"":
    main()
",20
7,7,145,runtime_error,,608720,"Traceback (most recent call last):
  File ""/tmp/tmp9whezj50/tmp.py"", line 5, in <module>
    print(sum(is_reversible(i) for i in range(1, 10**9)))
  File ""/tmp/tmp9whezj50/tmp.py"", line 5, in <genexpr>
    print(sum(is_reversible(i) for i in range(1, 10**9)))
  File ""/tmp/tmp9whezj50/tmp.py"", line 3, in is_reversible
    return all(map(lambda x: x % 2 == 1, str(n) + str(n)[::-1]))
  File ""/tmp/tmp9whezj50/tmp.py"", line 3, in <lambda>
    return all(map(lambda x: x % 2 == 1, str(n) + str(n)[::-1]))
TypeError: not all arguments converted during string formatting
","
def is_reversible(n):
    return all(map(lambda x: x % 2 == 1, str(n) + str(n)[::-1]))

print(sum(is_reversible(i) for i in range(1, 10**9)))
",20
8,8,315,runtime_error,,13625242,"  File ""/tmp/tmp8bepd6t4/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def digital_root(n):
    while n > 9:
        n = sum(int(d) for d in str(n))
    return n

def sam_clock(n):
    transitions = 0
    while n > 0:
        d = digital_root(n)
        transitions += 2 + sum(1 for i in range(7) if (1 << i) & d)
        n = d
    return transitions

def max_clock(n):
    transitions = 0
    while n > 0:
        d = digital_root(n)
        transitions += sum(1 for i in range(7) if (1 << i) & n and not (1 << i) & d)
        transitions += sum(1 for i in range(7) if (1 << i) & d)
        n = d
    return transitions

def main():
    A, B = 107, 2 * 107
    primes = [i for i in range(A, B + 1) if all(i % j for j in range(2, int",20
9,9,323,timeout_error,,6.3551758451,TIMEOUT,"
import random
import math

def bitwise_or_operations_on_random_integers():
  """"""
  Finds the expected value of N such that xi = 232 -1 for all i >= N.
  """"""

  # Initialize the sequence xi.
  xi = 0

  # Initialize the counter for the number of iterations.
  i = 0

  # While xi is not equal to 232 -1, continue iterating.
  while xi != 232 -1:
    # Generate a random unsigned 32 bit integer.
    yi = random.randint(0, 232 -1)

    # Perform the bitwise-OR operation on xi and yi.
    xi = xi | yi

    # Increment the counter for the number of iterations.
    i += 1

  # Return the expected value of N.
  return i / math.log(2)

print(bitwise_or_operations_on_random_integers())
",20
