,id,status,output,expected_output,error,code,difficulty
0,60,timeout_error,,26033,TIMEOUT,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def prime_pair_sets():
    primes = [3, 7, 109, 673]  # starting primes
    num_primes = 4  # number of primes in the set
    lowest_sum = sum(primes)

    while True:
        primes.append(0)  # placeholder for the next prime
        for prime in primes[:num_primes]:
            # Check if concatenating two primes in any order produces another prime
            if not is_prime(int(str(prime) + str(primes[num_primes]))):
                break
            if not is_prime(int(str(primes[num_primes]) + str(prime))):
                break
        else:
            # If all concatenations are prime, update the lowest sum if necessary
            lowest_sum = sum(primes[:num_primes+1]) if sum(primes[:num_primes+1]) < lowest_sum else lowest_sum
            if num_primes == 4:
                return lowest_sum
        primes[num_primes] = next_prime(primes[num_primes-1] + 2)  # find the next prime
        while not is_prime(primes[num_primes]):
            primes[num_primes] = next_prime(primes[num_primes] + 2)  # increment by 2 to skip even numbers
        num_primes += 1

def next_prime(n):
    if n % 2 == 0:
        n += 1
    while True:
        if is_prime(n):
            return n
        n += 2

print(prime_pair_sets())",20
1,61,runtime_error,,28684,"Traceback (most recent call last):
  File ""/tmp/tmp8ma1k2e8/tmp.py"", line 43, in <module>
    sum_result = sum(result)
TypeError: 'NoneType' object is not iterable
","
def generate_polygonal_numbers(sides, start, end):
    numbers = []
    for n in range(start, end+1):
        if sides == 3:  # Triangle numbers
            number = n * (n + 1) // 2
        elif sides == 4:  # Square numbers
            number = n ** 2
        elif sides == 5:  # Pentagonal numbers
            number = n * (3 * n - 1) // 2
        elif sides == 6:  # Hexagonal numbers
            number = n * (2 * n - 1)
        elif sides == 7:  # Heptagonal numbers
            number = n * (5 * n - 3) // 2
        elif sides == 8:  # Octagonal numbers
            number = n * (3 * n - 2)
        else:
            return []
        if number >= 1000 and number <= 9999:
            numbers.append(number)
    return numbers

def find_cyclic_figurate_numbers():
    for t in generate_polygonal_numbers(3, 45, 140):
        for s in generate_polygonal_numbers(4, 32, 99):
            if str(t)[-2:] != str(s)[:2]:
                continue
            for p in generate_polygonal_numbers(5, 26, 81):
                if str(s)[-2:] != str(p)[:2]:
                    continue
                for h in generate_polygonal_numbers(6, 23, 70):
                    if str(p)[-2:] != str(h)[:2]:
                        continue
                    for he in generate_polygonal_numbers(7, 21, 63):
                        if str(h)[-2:] != str(he)[:2]:
                            continue
                        for o in generate_polygonal_numbers(8, 19, 58):
                            if str(he)[-2:] != str(o)[:2] or str(o)[-2:] != str(t)[:2]:
                                continue
                            return [t, s, p, h, he, o]

result = find_cyclic_figurate_numbers()
sum_result = sum(result)
print(""The sum of the ordered set of six cyclic 4-digit numbers is:"", sum_result)
",20
2,64,no_error,"1322
",1322,,"
def count_odd_period_square_roots(limit):
    count = 0
    for n in range(2, limit + 1):
        if int(n ** 0.5) ** 2 == n:
            continue
        m = 0
        d = 1
        a = int(n ** 0.5)
        a0 = a
        period = 0
        while a != 2 * a0:
            m = d * a - m
            d = (n - m ** 2) / d
            a = int((a0 + m) / d)
            period += 1
        if period % 2 == 1:
            count += 1
    return count

print(count_odd_period_square_roots(10000))
",20
3,70,timeout_error,,8319823,TIMEOUT,"
from math import sqrt

def is_permutation(x, y):
    return sorted(str(x)) == sorted(str(y))

def phi(n):
    result = n  # Initialize result as n

    # Consider all prime factors of n and subtract their multiples from result
    p = 2
    while p * p <= n:
        if n % p == 0:  # p is a prime factor of n
            while n % p == 0:
                n //= p
            result -= result // p
        p += 1

    # If n has a prime factor greater than sqrt(n)
    if n > 1:
        result -= result // n

    return result

min_ratio = float('inf')
min_n = 0

for n in range(2, 10**7):
    phi_n = phi(n)
    if is_permutation(n, phi_n):
        ratio = n / phi_n
        if ratio < min_ratio:
            min_ratio = ratio
            min_n = n

print(min_n)
",20
4,72,no_error,"303963552391
",303963552391,,"def count_fractions(limit):
    count = 0
    phi = [i for i in range(limit + 1)]
    for i in range(2, limit + 1):
        if phi[i] == i:
            for j in range(i, limit + 1, i):
                phi[j] = phi[j] // i * (i - 1)
        count += phi[i]
    return count

result = count_fractions(1000000)
print(result)",20
5,80,wrong_output,"6778
",40886,,"
import math

def square_root_digital_expansion():
    total_sum = 0
    
    for n in range(1, 101):
        # Check if the square root is an integer
        if math.sqrt(n) % 1 != 0:
            # Get the decimal digits of the square root
            digits = str(math.sqrt(n)).replace('.', '')[:100]
            
            # Calculate the digital sum
            digit_sum = sum(int(digit) for digit in digits)
            
            # Add the digital sum to the total sum
            total_sum += digit_sum
    
    return total_sum

# Test the function
result = square_root_digital_expansion()
print(result)
",20
6,87,timeout_error,,1097343,TIMEOUT,"
def is_prime(n):
    if n <= 1:
        return False
    if n <= 3:
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True

def count_prime_power_triples(limit):
    count = 0
    primes = []
    for num in range(limit):
        if is_prime(num):
            primes.append(num)
    for square in primes:
        for cube in primes:
            for fourth_power in primes:
                if square**2 + cube**3 + fourth_power**4 < limit:
                    count += 1
    return count

limit = 50000000
result = count_prime_power_triples(limit)
print(result)
",20
7,145,timeout_error,,608720,TIMEOUT,"def is_reversible(n):
    # Function to check if a number is reversible
    
    # Convert the number to string and reverse it
    reverse_n = str(n)[::-1]
    
    # Add the number and its reverse
    sum_n = n + int(reverse_n)
    
    # Convert the sum to string
    sum_n_str = str(sum_n)
    
    # Check if all the digits in the sum are odd
    for digit in sum_n_str:
        if int(digit) % 2 == 0:
            return False
    
    return True


def count_reversible_numbers(limit):
    # Function to count the number of reversible numbers below a limit
    
    count = 0
    
    # Iterate through numbers from 1 to the limit
    for i in range(1, limit):
        if is_reversible(i):
            count += 1
    
    return count


# Test the function with the given limit of one billion
limit = 10**9
result = count_reversible_numbers(limit)
print(result)",20
8,315,wrong_output,,13625242,,"
def calculate_transitions(A, B):
    sam_transitions = 0
    max_transitions = 0

    for num in range(A, B + 1):
        num_str = str(num)
        sam_transitions += sum([len(segment_transitions(int(digit))) for digit in num_str]) * 2
        max_transitions += len(segment_transitions(int(num_str[0]))) + sum([len(segment_transitions(int(digit))) for digit in num_str[1:]])

    return sam_transitions - max_transitions

def segment_transitions(digit):
    # Define the number of transitions for each digit
    transitions = {0: 6, 1: 2, 2: 5, 3: 5, 4: 4, 5: 5, 6: 6, 7: 3, 8: 7, 9: 6}
    return transitions[digit]
",20
9,323,wrong_output,"6.358878
",6.3551758451,,"
import random

def find_expected_value():
    total_N = 0
    num_iterations = 1000000

    for _ in range(num_iterations):
        x = 0
        N = 0

        while x != 2**32 - 1:
            y = random.randint(0, 2**32 - 1)
            x = x | y
            N += 1

        total_N += N

    expected_value = total_N / num_iterations
    return round(expected_value, 10)

print(find_expected_value())
",20
