,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
246,246,1,no_error,"233168
",233168,,"
def sum_of_multiples():
    total_sum = 0
    
    for num in range(1, 1000):
        if num % 3 == 0 or num % 5 == 0:
            total_sum += num
    
    return total_sum

result = sum_of_multiples()
print(result)
",5
251,251,2,no_error,"4613732
",4613732,,"
def fibonacci_sum(limit):
    # Initialize variables
    a, b = 1, 2
    total_sum = 0

    # Loop until the Fibonacci term exceeds the limit
    while a <= limit:
        # Add even-valued terms to the total sum
        if a % 2 == 0:
            total_sum += a

        # Generate the next Fibonacci term
        a, b = b, a + b

    return total_sum

# Call the function with the given limit of four million
sum_of_even_terms = fibonacci_sum(4000000)
print(sum_of_even_terms)
",5
252,252,3,no_error,6857,6857,,"
def largest_prime_factor(n):
    factor = 2
    while factor * factor <= n:
        if n % factor == 0:
            n //= factor
        else:
            factor += 1
    return n

number = 600851475143
largest_prime = largest_prime_factor(number)
print(""The largest prime factor of"", number, ""is"", largest_prime)
",5
255,255,4,no_error,"906609
",906609,,"def largest_palindrome_product():
    largest_palindrome = 0
    
    for i in range(100, 1000):
        for j in range(100, 1000):
            product = i * j
            if str(product) == str(product)[::-1] and product > largest_palindrome:
                largest_palindrome = product
    
    return largest_palindrome

print(largest_palindrome_product())",5
258,258,5,no_error,"232792560
",232792560,,"def smallest_multiple():
    num = 1
    while True:
        for i in range(1, 21):
            if num % i != 0:
                break
        else:
            return num
        num += 1

print(smallest_multiple())",5
260,260,6,no_error,"25164150
",25164150,,"def sum_square_difference(n):
    sum_of_squares = 0
    square_of_sum = 0
    
    for i in range(1, n+1):
        sum_of_squares += i**2
        square_of_sum += i
    
    square_of_sum = square_of_sum**2
    
    difference = square_of_sum - sum_of_squares
    
    return difference


result = sum_square_difference(100)
print(result)",5
265,265,7,wrong_output,,104743,,"
def is_prime(n):
    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(n ** 0.5) + 1, 2):
        if n % i == 0:
            return False
    return True

def nth_prime(n):
    count = 0
    num = 2
    while count < n:
        if is_prime(num):
            count += 1
        num += 1
    return num - 1

nth_prime(10001)
",5
268,268,8,no_error,23514624000,23514624000,,"
def find_largest_product(number, adjacent_digits):
    max_product = 0
    
    for i in range(len(number) - adjacent_digits + 1):
        product = 1
        for j in range(adjacent_digits):
            product *= int(number[i+j])
        
        max_product = max(max_product, product)
    
    return max_product


number = ""73167176531330624919225119674426574742355349194934"" \
         ""96983520312774506326239578318016984801869478851843"" \
         ""85861560789112949495459501737958331952853208805511"" \
         ""12540698747158523863050715693290963295227443043557"" \
         ""66896648950445244523161731856403098711121722383113"" \
         ""62229893423380308135336276614282806444486645238749"" \
         ""30358907296290491560440772390713810515859307960866"" \
         ""70172427121883998797908792274921901699720888093776"" \
         ""65727333001053367881220235421809751254540594752243"" \
         ""52584907711670556013604839586446706324415722155397"" \
         ""53697817977846174064955149290862569321978468622482"" \
         ""83972241375657056057490261407972968652414535100474"" \
         ""82166370484403199890008895243450658541227588666881"" \
         ""16427171479924442928230863465674813919123162824586"" \
         ""17866458359124566529476545682848912883142607690042"" \
         ""24219022671055626321111109370544217506941658960408"" \
         ""07198403850962455444362981230987879927244284909188"" \
         ""84580156166097919133875499200524063689912560717606"" \
         ""05886116467109405077541002256983155200055935729725"" \
         ""71636269561882670428252483600823257530420752963450""

adjacent_digits = 13
largest_product = find_largest_product(number, adjacent_digits)

print(""The largest product of"", adjacent_digits, ""adjacent digits in the given number is:"", largest_product)
",5
269,269,9,wrong_output,"The Pythagorean triplet whose sum equals 1000 is: 200 375 425
",31875000,,"
def find_special_pythagorean_triplet():
    for a in range(1, 1001):
        for b in range(a, 1001):
            c = 1000 - a - b
            if a*a + b*b == c*c:
                return a, b, c

a, b, c = find_special_pythagorean_triplet()
print(""The Pythagorean triplet whose sum equals 1000 is:"", a, b, c)
",5
270,270,10,no_error,"142913828922
",142913828922,,"
import math

def is_prime(n):
    if n <= 1:
        return False
    elif n == 2:
        return True
    elif n % 2 == 0:
        return False
    else:
        max_divisor = int(math.sqrt(n)) + 1
        for divisor in range(3, max_divisor, 2):
            if n % divisor == 0:
                return False
        return True

def sum_of_primes(limit):
    total = 0
    for number in range(2, limit):
        if is_prime(number):
            total += number
    return total

sum_below_two_million = sum_of_primes(2000000)
print(sum_below_two_million)
",5
273,273,11,no_error,"70600674
",70600674,,"def find_largest_product(grid):
    rows = len(grid)
    cols = len(grid[0])
    largest_product = 0

    # Check horizontal products
    for row in range(rows):
        for col in range(cols - 3):
            product = grid[row][col] * grid[row][col + 1] * grid[row][col + 2] * grid[row][col + 3]
            largest_product = max(largest_product, product)

    # Check vertical products
    for col in range(cols):
        for row in range(rows - 3):
            product = grid[row][col] * grid[row + 1][col] * grid[row + 2][col] * grid[row + 3][col]
            largest_product = max(largest_product, product)

    # Check diagonal products (top-left to bottom-right)
    for row in range(rows - 3):
        for col in range(cols - 3):
            product = grid[row][col] * grid[row + 1][col + 1] * grid[row + 2][col + 2] * grid[row + 3][col + 3]
            largest_product = max(largest_product, product)

    # Check diagonal products (top-right to bottom-left)
    for row in range(rows - 3):
        for col in range(3, cols):
            product = grid[row][col] * grid[row + 1][col - 1] * grid[row + 2][col - 2] * grid[row + 3][col - 3]
            largest_product = max(largest_product, product)

    return largest_product

grid = [
    [8, 2, 22, 97, 38, 15, 0, 40, 0, 75, 4, 5, 7, 78, 52, 12, 50, 77, 91, 8],
    [49, 49, 99, 40, 17, 81, 18, 57, 60, 87, 17, 40, 98, 43, 69, 48, 4, 56, 62, 0],
    [81, 49, 31, 73, 55, 79, 14, 29, 93, 71, 40, 67, 53, 88, 30, 3, 49, 13, 36, 65],
    [52, 70, 95, 23, 4, 60, 11, 42, 69, 24, 68, 56, 1, 32, 56, 71, 37, 2, 36, 91],
    [22, 31, 16, 71, 51, 67, 63, 89, 41, 92, 36, 54, 22, 40, 40, 28, 66, 33, 13, 80],
    [24, 47, 32, 60, 99, 3, 45, 2, 44, 75, 33, 53, 78, 36, 84, 20, 35, 17, 12, 50],
    [32, 98, 81, 28, 64, 23, 67, 10, 26, 38, 40, 67, 59, 54, 70, 66, 18, 38, 64, 70],
    [67, 26, 20, 68, 2, 62, 12, 20, 95, 63, 94, 39, 63, 8, 40, 91, 66, 49, 94, 21],
    [24, 55, 58, 5, 66, 73, 99, 26, 97, 17, 78, 78, 96, 83, 14, 88, 34, 89, 63, 72],
    [21, 36, 23, 9, 75, 0, 76, 44, 20, 45, 35, 14, 0, 61, 33, 97, 34, 31, 33, 95],
    [78, 17, 53, 28, 22, 75, 31, 67, 15, 94, 3, 80, 4, 62, 16, 14, 9, 53, 56, 92],
    [16, 39, 5, 42, 96, 35, 31, 47, 55, 58, 88, 24, 0, 17, 54, 24, 36, 29, 85, 57],
    [86, 56, 0, 48, 35, 71, 89, 7, 5, 44, 44, 37, 44, 60, 21, 58, 51, 54, 17, 58],
    [19, 80, 81, 68, 5, 94, 47, 69, 28, 73, 92, 13, 86, 52, 17, 77, 4, 89, 55, 40],
    [4, 52, 8, 83, 97, 35, 99, 16, 7, 97, 57, 32, 16, 26, 26, 79, 33, 27, 98, 66],
    [88, 36, 68, 87, 57, 62, 20, 72, 3, 46, 33, 67, 46, 55, 12, 32, 63, 93, 53, 69],
    [4, 42, 16, 73, 38, 25, 39, 11, 24, 94, 72, 18, 8, 46, 29, 32, 40, 62, 76, 36],
    [20, 69, 36, 41, 72, 30, 23, 88, 34, 62, 99, 69, 82, 67, 59, 85, 74, 4, 36, 16],
    [20, 73, 35, 29, 78, 31, 90, 1, 74, 31, 49, 71, 48, 86, 81, 16, 23, 57, 5, 54],
    [1, 70, 54, 71, 83, 51, 54, 69, 16, 92, 33, 48, 61, 43, 52, 1, 89, 19, 67, 48]
]

largest_product = find_largest_product(grid)
print(largest_product)",5
276,276,12,no_error,76576500,76576500,,"
import math

def get_triangle_number(n):
    return (n * (n + 1)) // 2

def get_factors_count(num):
    count = 0
    for i in range(1, int(math.sqrt(num)) + 1):
        if num % i == 0:
            count += 2
    return count

def find_triangle_number_with_divisors(divisors):
    n = 1
    while True:
        triangle_number = get_triangle_number(n)
        factors_count = get_factors_count(triangle_number)
        if factors_count > divisors:
            return triangle_number
        n += 1

divisors = 500
result = find_triangle_number_with_divisors(divisors)
print(f""The first triangle number to have over {divisors} divisors is {result}."")
",5
278,278,13,no_error,"5537376230
",5537376230,,"
def large_sum(numbers):
    total = sum(numbers)
    return str(total)[:10]

numbers = [
    37107287533902102798797998220837590246510135740250,
    46376937677490009712648124896970078050417018260538,
    74324986199524741059474233309513058123726617309629,
    91942213363574161572522430563301811072406154908250,
    23067588207539346171171980310421047513778063246676,
    89261670696623633820136378418383684178734361726757,
    28112879812849979408065481931592621691275889832738,
    44274228917432520321923589422876796487670272189318,
    47451445736001306439091167216856844588711603153276,
    70386486105843025439939619828917593665686757934951,
    62176457141856560629502157223196586755079324193331,
    64906352462741904929101432445813822663347944758178,
    92575867718337217661963751590579239728245598838407,
    58203565325359399008402633568948830189458628227828,
    80181199384826282014278194139940567587151170094390,
    35398664372827112653829987240784473053190104293586,
    86515506006295864861532075273371959191420517255829,
    71693888707715466499115593487603532921714970056938,
    54370070576826684624621495650076471787294438377604,
    53282654108756828443191190634694037855217779295145,
    36123272525000296071075082563815656710885258350721,
    45876576172410976447339110607218265236877223636045,
    17423706905851860660448207621209813287860733969412,
    81142660418086830619328460811191061556940512689692,
    51934325451728388641918047049293215058642563049483,
    62467221648435076201727918039944693004732956340691,
    15732444386908125794514089057706229429197107928209,
    55037687525678773091862540744969844508330393682126,
    18336384825330154686196124348767681297534375946515,
    80386287592878490201521685554828717201219257766954,
    78182833757993103614740356856449095527097864797581,
    16726320100436897842553539920931837441497806860984,
    48403098129077791799088218795327364475675590848030,
    87086987551392711854517078544161852424320693150332,
    59959406895756536782107074926966537676326235447210,
    69793950679652694742597709739166693763042633987085,
    41052684708299085211399427365734116182760315001271,
    65378607361501080857009149939512557028198746004375,
    35829035317434717326932123578154982629742552737307,
    94953759765105305946966067683156574377167401875275,
    88902802571733229619176668713819931811048770190271,
    25267680276078003013678680992525463401061632866526,
    36270218540497705585629946580636237993140746255962,
    24074486908231174977792365466257246923322810917141,
    91430288197103288597806669760892938638285025333403,
    34413065578016127815921815005561868836468420090470,
    23053081172816430487623791969842487255036638784583,
    11487696932154902810424020138335124462181441773470,
    63783299490636259666498587618221225225512486764533,
    67720186971698544312419572409913959008952310058822,
    95548255300263520781532296796249481641953868218774,
    76085327132285723110424803456124867697064507995236,
    37774242535411291684276865538926205024910326572967,
    23701913275725675285653248258265463092207058596522,
    29798860272258331913126375147341994889534765745501,
    18495701454879288984856827726077713721403798879715,
    38298203783031473527721580348144513491373226651381,
    34829543829199918180278916522431027392251122869539,
    40957953066405232632538044100059654939159879593635,
    29746152185502371307642255121183693803580388584903,
    41698116222072977186158236678424689157993532961922,
    62467957194401269043877107275048102390895523597457,
    23189706772547915061505504953922979530901129967519,
    86188088225875314529584099251203829009407770775672,
    11306739708304724483816533873502340845647058077308,
    82959174767140363198008187129011875491310547126581,
    97623331044818386269515456334926366572897563400500,
    42846280183517070527831839425882145521227251250327,
    55121603546981200581762165212827652751691296897789,
    32238195734329339946437501907836945765883352399886,
    75506164965184775180738168837861091527357929701337,
    62177842752192623401942399639168044983993173312731,
    32924185707147349566916674687634660915035914677504,
    99518671430235219628894890102423325116913619626622,
    73267460800591547471830798392868535206946944540724,
    76841822524674417161514036427982273348055556214818,
    97142617910342598647204516893989422179826088076852,
    87783646182799346313767754307809363333018982642090,
    10848802521674670883215120185883543223812876952786,
    71329612474782464538636993009049310363619763878039,
    62184073572399794223406235393808339651327408011116,
    66627891981488087797941876876144230030984490851411,
    60661826293682836764744779239180335110989069790714,
    85786944089552990653640447425576083659976645795096,
    66024396409905389607120198219976047599490197230297,
    64913982680032973156037120041377903785566085089252,
    16730939319872750275468906903707539413042652315011,
    94809377245048795150954100921645863754710598436791,
    78639167021187492431995700641917969777599028300699,
    15368713711936614952811305876380278410754449733078,
    40789923115535562561142322423255033685442488917353,
    44889911501440648020369068063960672322193204149535,
    41503128880339536053299340368006977710650566631954,
    81234880673210146739058568557934581403627822703280,
    82616570773948327592232845941706525094512325230608,
    22918802058777319719839450180888072429661980811197,
    77158542502016545090413245809786882778948721859617,
    72107838435069186155435662884062257473692284509516,
    20849603980134001723930671666823555245252804609722,
    53503534226472524250874054075591789781264330331690
]

print(large_sum(numbers))
",5
280,280,14,no_error,"837799
",837799,,"
def collatz_sequence_length(n):
    length = 1
    while n != 1:
        if n % 2 == 0:
            n = n // 2
        else:
            n = 3 * n + 1
        length += 1
    return length

def longest_collatz_sequence(limit):
    max_length = 0
    max_num = 0
    for num in range(1, limit):
        length = collatz_sequence_length(num)
        if length > max_length:
            max_length = length
            max_num = num
    return max_num

limit = 1000000
result = longest_collatz_sequence(limit)
print(result)
",5
283,283,15,no_error,"137846528820
",137846528820,,"
def lattice_paths(n):
    # Create a 2D grid of size (n+1) x (n+1)
    grid = [[0] * (n+1) for _ in range(n+1)]

    # Set the initial values
    for i in range(n+1):
        grid[i][0] = 1
        grid[0][i] = 1

    # Compute the number of routes for each cell
    for i in range(1, n+1):
        for j in range(1, n+1):
            grid[i][j] = grid[i-1][j] + grid[i][j-1]

    # Return the total number of routes through the grid
    return grid[n][n]

# Test the function with a 20x20 grid
result = lattice_paths(20)
print(result)
",5
286,286,16,wrong_output,"The sum of the digits of 21000 is 3
",1366,,"
def calculate_digit_sum(n):
    digit_sum = 0
    while n > 0:
        digit_sum += n % 10
        n //= 10
    return digit_sum

number = 21000
digit_sum = calculate_digit_sum(number)
print(""The sum of the digits of"", number, ""is"", digit_sum)
",5
287,287,17,wrong_output,"21087
",21124,,"
def number_letter_counts():
    # Define a dictionary to store the number of letters in each digit
    num_letters = {
        0: 0, 1: 3, 2: 3, 3: 5, 4: 4, 5: 4, 6: 3, 7: 5, 8: 5, 9: 4,
        10: 3, 11: 6, 12: 6, 13: 8, 14: 8, 15: 7, 16: 7, 17: 9, 18: 8, 19: 8,
        20: 6, 30: 6, 40: 5, 50: 5, 60: 5, 70: 7, 80: 6, 90: 6
    }
    
    # Define a variable to store the total letter count
    total_letters = 0
    
    for number in range(1, 1001):
        if number in num_letters:
            # If the number is already in the dictionary, add its letter count to the total
            total_letters += num_letters[number]
        else:
            if number < 100:
                # For numbers less than 100, count the letters of the tens digit and ones digit separately
                tens_digit = number // 10 * 10
                ones_digit = number % 10
                total_letters += num_letters[tens_digit] + num_letters[ones_digit]
            else:
                # For numbers greater than or equal to 100, count the letters of the hundreds digit separately
                hundreds_digit = number // 100
                total_letters += num_letters[hundreds_digit] + 7  # Add 7 for the word ""hundred""
                
                # Check if the number has a tens digit and ones digit
                if number % 100 != 0:
                    total_letters += 3  # Add 3 for the word ""and""
                    tens_digit = (number // 10) % 10 * 10
                    ones_digit = number % 10
                    if tens_digit in num_letters:
                        # If the tens digit is already in the dictionary, add its letter count to the total
                        total_letters += num_letters[tens_digit] + num_letters[ones_digit]
                    else:
                        # If the tens digit is not in the dictionary, count the letters of the tens digit and ones digit separately
                        total_letters += num_letters[tens_digit] + num_letters[ones_digit]
    
    return total_letters

# Call the function to get the total letter count
result = number_letter_counts()
print(result)
",5
